Greyhound,Plc,Date,Track,Days,Distance,Mgn,Class,Box,In Run,Price,Time,Placing
Chorus Line,4/7,2025-08-22,Sale,14,435,6.23,M,1,"3,2,2",$6.00,24.8,"1. Lakeview Liam
2. Amron Lucy
3. Velvet Lass"
Chorus Line,4/7,2025-08-08,Warragul,N/A,400,7.19,M,1,"4,3",$3.50,22.9,"1. Dr. Douglas
2. Rumour I'm Broke
3. It's Friday"
Green Shoots,3/8,2025-08-20,Sale,33,435,2.97,T3-M,3,"6,4,4",$4.40,24.8,"1. Lucky Harper
2. Riverbank Sandy"
Green Shoots,6/8,2025-07-18,Geelong,7,400,5.63,M,8,"8,6",$26.00,22.8,"1. Karen Stratus
2. Canya Speed
3. Paw Amaran"
Green Shoots,3/8,2025-07-11,Geelong,11,400,6.97,M,1,"3,3",$5.00,22.4,"1. Flying Intention
2. Flying Stratus"
Green Shoots,4/8,2025-06-30,Ballarat,4,390,4.56,T3-M,8,"6,5",$3.00,22.6,"1. Paw Bastow
2. Paw Yazmin
3. Wow His Norm"
Green Shoots,2/8,2025-06-26,Shepparton,7,390,0.75,M,5,"2,2",$5.00,22.3,"1. Powder Dry
3. Kraken Bing"
Green Shoots,2/7,2025-06-19,Shepparton,3,390,0.2,MAIDEN,3,N/A,$8.50,N/A,"1. Magic Boom
3. Berringa Black"
Green Shoots,4/7,2025-06-16,Ballarat,7,390,11.57,T3-M,2,"3,6",$3.00,22.7,"1. Red Hot Pretty
2. Literally
3. Irena Bella"
Green Shoots,6/8,2025-06-09,Shepparton,7,390,11.81,MAIDEN,6,N/A,$15.00,N/A,"1. Give A Little
2. Powder Dry
3. Unique Star"
Green Shoots,3/8,2025-06-02,Shepparton,4,390,7.29,T3-M,2,"4,4",$6.00,21.9,"1. Moyarra Kongk
2. Powder Dry"
Green Shoots,2/8,2025-05-29,Shepparton,7,390,3.66,M,1,"4,2",$4.50,22.3,"1. Golf Trip
3. Aston Lewis"
Green Shoots,3/8,2025-05-22,Shepparton,7,390,5.97,M,1,"5,4",$6.00,22.3,"1. Boy
2. Give A Little"
Green Shoots,4/8,2025-05-15,Shepparton,7,390,2.36,T3-M,2,"3,1",$5.50,22.9,"1. Grovedale Bug
2. Present Gift
3. Aston Lewis"
Green Shoots,3/8,2025-05-08,Shepparton,8,390,8.57,M,6,"5,4",$5.00,22.7,"1. Topper Snowdrift
2. Hit The Button"
Green Shoots,6/8,2025-04-30,Bendigo,5,425,2.63,M,8,"5,1,2",$2.10,25.5,"1. Mr. Sin Rap
2. Be Frank
3. Barellen Moon"
Green Shoots,4/8,2025-04-25,Shepparton,11,390,4.01,M,1,"5,4",$41.00,22.4,"1. Dashing Nando
2. Aston Ardbeg
3. Moyarra Kongk"
Green Shoots,5/8,2025-04-14,Shepparton,12,390,12.76,M,7,"7,6",$26.00,22.7,"1. Uncle Ernest
2. Simply Ned
3. Black Hawk"
Green Shoots,7/8,2025-04-02,Bendigo,N/A,425,20.19,M,6,"8,8,7",$14.00,24.1,"1. Aston Yamato
2. Olympia Onyx
3. Hollywood Icon"
Dundee Sterling,6/7,2025-08-22,Sale,5,435,11.94,M,8,"6,7,6",$16.00,24.8,"1. Lakeview Liam
2. Amron Lucy
3. Velvet Lass"
Dundee Sterling,6/8,2025-08-17,Sale,7,510,15.11,MF,3,"6,6,6",$29.00,29,"1. Dr. Leviate
2. Sweet Trilby
3. Dr. Smokey"
Dundee Sterling,4/8,2025-08-10,Sale,N/A,510,6.2,MH,8,"3,4,4",$15.00,29.2,"1. Dr. Leviate
2. Dr. Charlotte
3. Amron Lucy"
Evelyn Annie,6/8,2025-08-21,Warragul,15,460,7.07,M,5,"6,6,6",$2.25,26.6,"1. Eyewitness
2. Darnum Rocket
3. Greysynd Cruiser"
Evelyn Annie,3/8,2025-08-06,Sale,7,435,2.81,T3-M,8,"7,5,4",$1.95,25.2,"1. Monty's Return
2. Dr. Maverick"
Evelyn Annie,4/8,2025-07-30,Sale,5,435,1.86,M,3,"5,5,4",$2.40,25,"1. Ebb And Flow
2. Smooth Beauty
3. Be Courageous"
Evelyn Annie,5/8,2025-07-25,Warragul,7,400,9.16,M,6,"6,5",$13.00,22.6,"1. Aston Renminbi
2. Missy Who
3. It's Friday"
Evelyn Annie,3/6,2025-07-18,Warragul,N/A,400,3.29,M,7,"5,5",$7.50,23.3,"1. Zonda
2. Herbie"
Dr. Rafaela,7/8,2025-08-24,Sale,14,510,12.25,M,4,"7,7,7",$41.00,29.1,"1. Sweet Trilby
2. Dr. Smokey
3. Dr. Warren"
Dr. Rafaela,6/8,2025-08-10,Sale,18,510,9.04,MH,1,"6,5,5",$51.00,29.2,"1. Dr. Leviate
2. Dr. Charlotte
3. Amron Lucy"
Dr. Rafaela,8/8,2025-07-23,Sale,10,435,11.07,T3-M,4,"8,8,8",$51.00,25.1,"1. Dr. Fallon
2. Dr. Axel
3. Classy Dancer"
Dr. Rafaela,6/7,2025-07-13,Sale,4,435,19.23,M,1,"6,6,6",$12.00,24.9,"1. Mad Hatter Rose
2. Sweet Trilby
3. Dr. Louis"
Dr. Rafaela,2/8,2025-07-09,Sale,3,435,0.9,M,1,"7,5,3",$11.00,25.2,"1. Sub Station
3. Dr. Cougar"
Dr. Rafaela,7/8,2025-07-06,Sale,5,435,20.46,M,1,"8,7,7",$11.00,24.8,"1. Dr. Zaid
2. Dr. Goji
3. Mad Hatter Rose"
Dr. Rafaela,7/8,2025-07-01,Warragul,N/A,400,11.25,M,3,"8,8",$19.00,23.3,"1. Savvy Lad
2. Lenora James
3. Ultimate Beast"
Collinda Flick,6/8,2025-08-22,Sale,7,435,17.75,M,4,"8,6,6",$29.00,24.5,"1. Oddly Cool
2. Dundee Aero
3. Tattletales"
Collinda Flick,7/8,2025-08-15,Warragul,N/A,400,12.66,M,4,"7,7",$3.40,23,"1. Found Treasure
2. Lady Belmont
3. Magic Margo"
Awesome Bindi,7/8,2025-07-31,Warragul,7,400,13.69,T3-M,8,"5,7",$51.00,23,"1. Herbie
2. Audacious Chief
3. Waltzing Aurora"
Awesome Bindi,8/8,2025-07-24,Warragul,8,400,21.2,M,4,"5,8",$21.00,23.1,"1. West On Beattie
2. Rumour I'm Broke
3. Waltzing Aurora"
Awesome Bindi,8/8,2025-07-16,Sale,35,435,24.43,T3-M,7,"2,7,8",$12.00,25.2,"1. Dr. Cougar
2. Brindle Motion
3. Dr. Axel"
Awesome Bindi,8/8,2025-06-11,Sale,6,435,11.37,M,4,"6,8,8",$4.80,25,"1. Dundee Spike
2. Brindle Motion
3. Lucky Harper"
Awesome Bindi,6/6,2025-06-05,Ballarat,4,390,12.14,SH,5,"6,6",$51.00,22.4,"1. Candy Stride
2. Fleetwood Eros
3. Special Teams"
Awesome Bindi,6/8,2025-06-01,Sale,8,435,11.09,M,1,"1,5,6",$9.50,24.9,"1. Catch A Cutie
2. Jumbuk Mahmood
3. Minh Sasha"
Awesome Bindi,7/7,2025-05-24,Geelong,10,400,20.47,M,4,"5,7",$8.50,22.5,"1. Manila Phantom
2. Volts
3. Saleena Bale"
Awesome Bindi,3/8,2025-05-14,Ballarat,7,450,7.79,MF,1,"1,1,3",$31.00,25.5,"1. Rivers Meet
2. Impactful"
Awesome Bindi,4/8,2025-05-07,Ballarat,7,450,7.33,MH,1,"1,1,2",$13.00,25.8,"1. Key Begonia
2. Ian Albert
3. Impactful"
Awesome Bindi,3/8,2025-04-30,Sale,3,435,5.9,M,2,"1,3,3",$6.00,24.9,"1. Princess Lass
2. Riverbank Sandy"
Awesome Bindi,3/8,2025-04-27,Sale,7,435,4.47,M,4,"2,2,2",$13.00,24.8,"1. Quick Response
2. Hafnium"
Awesome Bindi,4/8,2025-04-20,Sale,7,435,9.71,M,3,"1,2,3",$6.00,24.9,"1. Reel Ritza
2. Daintree Bullet
3. Skywalker Rose"
Awesome Bindi,8/8,2025-04-13,Bendigo,N/A,425,18.19,MH,4,"4,4,8",$31.00,23.7,"1. Fastened
2. Vista Vampire
3. Wave In Sea"
Dr. Yamir,6/7,2025-08-19,Warragul,11,460,9.91,MH,6,"6,6,7",$41.00,26.3,"1. Resisting
2. Dewana Lipinski
3. Major Impact"
Dr. Yamir,7/7,2025-08-08,Warragul,5,400,18.56,M,3,"7,7",$4.33,22.5,"1. Lissy's A Demon
2. Magic Margo
3. Danyo's Tex"
Dr. Yamir,5/8,2025-08-03,Sale,N/A,435,6.2,M,8,"6,6,6",$4.40,24.8,"1. Cartman
2. Lucky Harper
3. Found Treasure"
Speedy Sprinkles,7/7,2025-08-13,Capalaba,20,366,9.75,PM,1,"7,6",$51.00,20.6,"1. Meg's Maid
2. Clean Air
3. Classic Case"
Speedy Sprinkles,8/8,2025-07-24,Q Straight,32,300,16.25,M,8,6,$51.00,16.8,"1. Red Hot Penny
2. Typhoon Tahlia
3. Zabdon Blondie"
Speedy Sprinkles,8/8,2025-06-22,Albion Park,21,331,8.5,M,4,8,$91.00,19.6,"1. Federal Rebel
2. Federal Escape
3. Currency Convert"
Speedy Sprinkles,7/8,2025-06-01,Q1 Lakeside,24,352,10.25,M,2,"7,6,7",$41.00,20.2,"1. Bee's The Word
2. Sassy Snow
3. Stay Tipsy"
Speedy Sprinkles,8/8,2025-05-08,Q1 Lakeside,7,352,12.25,M,4,N/A,$51.00,20.2,"1. Lavana Lee
2. Goldstar George
3. Black Feature"
Speedy Sprinkles,8/8,2025-05-01,Q1 Lakeside,N/A,352,14.25,M,3,"8,8",$17.00,20.5,"1. Aston Athol
2. Mally's Boy
3. Noble Toby"
In Stiches,5/7,2025-08-17,Capalaba,7,366,8.5,M,1,"2,3",$91.00,20.2,"1. Zipping Daly
2. Orlando Beach
3. Regal Malt"
In Stiches,7/7,2025-08-10,Capalaba,7,366,22.25,M,4,"2,3",$71.00,19.9,"1. Around The Twist
2. Miss Righteous
3. Commissar Cain"
In Stiches,4/6,2025-08-03,Capalaba,53,366,6.25,M,4,"2,2",$101.00,20.7,"1. Zipping Snead
2. Big Eddie
3. Flying Argos"
In Stiches,7/8,2025-06-11,Capalaba,90,366,12.75,PM,3,"8,8",$41.00,20.7,"1. Fame Beckons
2. Jilliby Fletch
3. Strikes Twice"
In Stiches,7/8,2025-03-13,Ipswich,14,288,10.75,M,6,7,$23.00,17.4,"1. Brother Ronny
2. Lakoda Focus
3. Twisted Lies"
In Stiches,5/8,2025-02-27,Ipswich,74,288,8.25,M,6,6,$14.00,17.5,"1. Tuta Longevity
2. Share The Dream
3. Out Of Control"
In Stiches,7/7,2024-12-15,Grafton,24,350,18,M,2,"7,6,6",$0.00,20,"1. Bago Promise
2. Whispering Sally
3. Bing Bonus"
In Stiches,6/8,2024-11-21,Ipswich,84,288,11.25,M,2,5,$0.00,17.4,"1. Anna Rumble
2. Maywyn Garth
3. Irish Elk"
In Stiches,3/8,2024-08-29,Ipswich,38,288,12.25,M,1,5,$8.00,17.1,"1. Burringbar Wizz
2. Famous Last Word"
In Stiches,6/8,2024-07-22,Bundaberg,32,315,20.75,M,8,5,$34.00,17.8,"1. Nicholasville
2. Aston Treadrea
3. Ginger Blazer"
In Stiches,7/7,2024-06-20,Ipswich,N/A,288,18,M,2,2,$6.50,17.4,"1. Yamato
2. Fiery Beast
3. Sirius Angus"
One Eye,4/6,2025-08-15,Q1 Lakeside,9,390,5.5,PM,6,N/A,$51.00,22.2,"1. Goldstar George
2. Zabdon No Doubt
3. Zabdon Blondie"
One Eye,7/8,2025-08-06,Q1 Lakeside,3,352,4.75,PM,5,"7,8",$26.00,20.5,"1. Hard Style Tiger
2. Hara's Hudson
3. Brodie And Me"
One Eye,4/4,2025-08-03,Capalaba,10,366,8.75,M,2,"3,3",$51.00,20.6,"1. Hara's Otis
2. Panama Loco
3. Bright Belle"
One Eye,8/8,2025-07-24,Q Straight,7,300,9.75,M,4,8,$0.00,17.2,"1. Ant Music
2. Lucky Time
3. Bombastic Lola"
One Eye,4/8,2025-07-17,Q Straight,7,300,5.25,PM,4,5,$14.00,16.8,"1. He's On Show
2. Zabdon No Doubt
3. King Moses"
One Eye,8/8,2025-07-10,Q Straight,36,350,9.25,M,8,"4,7",$91.00,19.6,"1. Versification
2. Colonel's Ranger
3. Tibetan Belle"
One Eye,6/6,2025-06-04,Capalaba,7,366,11.5,M,1,"4,5",$29.00,20.6,"1. Ice Rider
2. So Simple
3. Ripple Linger"
One Eye,4/8,2025-05-28,Capalaba,7,366,4.25,PM,6,"7,6",$8.50,20.8,"1. Lil Missy
2. King Moses
3. Spitfire Marcy"
One Eye,5/8,2025-05-21,Capalaba,7,366,10.25,M,8,"7,7",$41.00,20.2,"1. Millie Beach
2. So Simple
3. Ice Rider"
One Eye,5/8,2025-05-14,Capalaba,10,366,7.25,M,3,"6,7",$51.00,20.6,"1. Sassy Vixen
2. Heading North
3. Ice Rider"
One Eye,5/8,2025-05-04,Capalaba,4,366,9.25,M,2,"6,8",$67.00,20.4,"1. Conduction
2. Mally's Boy
3. Hard Style Tiger"
One Eye,6/8,2025-04-30,Capalaba,3,366,6.5,PM,6,"7,7",$34.00,20.5,"1. My Man Jackson
2. Almighty Leo
3. So Simple"
One Eye,5/7,2025-04-27,Capalaba,7,366,9.75,M,3,"5,7",$61.00,20.5,"1. Crisis Averted
2. Hard Style Tiger
3. Ringbark Scary"
One Eye,5/8,2025-04-20,Q1 Lakeside,11,390,12,M,2,"3,3",$51.00,22.1,"1. Scotch You
2. Harry's Hill
3. Popular Monster"
One Eye,4/8,2025-04-09,Albion Park,43,395,6.5,PM,8,6,$67.00,23.5,"1. Kevie's Chosen
2. Forever Smiling
3. Remember Pal"
One Eye,4/8,2025-02-25,Ipswich,23,431,7.75,PM,2,6,$8.50,26,"1. Forge Ahead
2. Maywyn A Harley
3. Lizzy Legs"
One Eye,8/8,2025-02-02,Albion Park,3,331,12.25,M,3,8,$91.00,19.3,"1. Someone's Idea
2. Two Cent Tilly
3. Yogi Unleashed"
One Eye,6/8,2025-01-30,Ipswich,60,288,10.25,M,6,8,$29.00,17.7,"1. Secret Sumatra
2. She's A Mystery
3. Zero Liquor"
One Eye,7/8,2024-12-01,Albion Park,7,331,17.25,M,7,7,$0.00,19.4,"1. Auburn Queen
2. Forever Smiling
3. Boom Boom Bernie"
One Eye,4/8,2024-11-24,Albion Park,N/A,331,12.5,M,7,8,$0.00,19.3,"1. Fly Direct
2. Fernando Force
3. Bundy Dash"
Batman Returns,5/8,2025-08-24,Q Straight,11,300,2.75,PM,3,2,$8.50,17,"1. Bombastic Lola
2. Zabdon Blondie
3. Brodie And Me"
Batman Returns,4/7,2025-08-13,Capalaba,3,366,2.5,PM,7,"2,1",$51.00,20.6,"1. Meg's Maid
2. Clean Air
3. Classic Case"
Batman Returns,8/8,2025-08-10,Q Straight,28,300,9,PM,8,7,$10.00,17.1,"1. Asawa Baby
2. Sundowner Stop
3. Remember Pal"
Batman Returns,8/8,2025-07-13,Q Straight,11,300,12.75,M,2,8,$41.00,16.8,"1. Noaki Warrior
2. Shy Hi
3. Exhibit"
Batman Returns,5/7,2025-07-02,Capalaba,35,366,8.75,M,3,"4,4",$51.00,21,"1. Malipano Beach
2. Zabdon Skippy
3. Zabdon Blondie"
Batman Returns,8/8,2025-05-28,Capalaba,7,366,11.25,PM,3,"2,2",$12.00,20.8,"1. Lil Missy
2. King Moses
3. Spitfire Marcy"
Batman Returns,4/5,2025-05-21,Capalaba,24,366,12,M,2,"1,1",$91.00,20.6,"1. Cyclone Tim
2. Mally's Boy
3. Infrared Power"
Batman Returns,8/8,2025-04-27,Capalaba,178,366,24.25,M,6,"1,2",$61.00,20.5,"1. Turbo Tully
2. Ice Rider
3. Mally's Boy"
Batman Returns,8/8,2024-10-31,Albion Park,88,331,55.5,M,4,4,$12.00,19.1,"1. Cake Is Yummy
2. Federal Tommy
3. Panama Pursuit"
Batman Returns,8/8,2024-08-04,Albion Park,3,331,32.25,M,7,3,$51.00,19.4,"1. Whispering Mist
2. Hara's Hudson
3. Walk Away Renee"
Batman Returns,4/7,2024-08-01,Ipswich,11,288,17.25,M,8,6,$5.00,17.2,"1. Shamrock Lady
2. Viola Rumble
3. Come On Franky"
Batman Returns,6/7,2024-07-21,Albion Park,3,331,13.75,M,3,3,$7.00,19.4,"1. Bombastic
2. Fire Up Pope
3. Greystone Hawk"
Batman Returns,3/8,2024-07-18,Ipswich,15,288,4.25,M,4,3,$17.00,17.4,"1. Little Jasper
2. Long Time Friend"
Batman Returns,8/8,2024-07-03,Ipswich,27,288,19,M,8,3,$10.00,17.4,"1. Honey Bunch
2. Indian Rupee
3. Fire Fly Billy"
Batman Returns,7/7,2024-06-06,Ipswich,N/A,288,15,M,6,2,$41.00,17.2,"1. Where's The Bomb
2. Kona Girl
3. Nunniong"
Federal Master,6/8,2025-07-21,Q Straight,8,350,2.5,M,6,"3,2,4",$18.00,20,"1. She's Dynamite
2. Joy Moo Moo
3. Shy Hi"
Federal Master,8/8,2025-07-13,Capalaba,24,366,9.75,M,5,"2,2",$22.00,20.3,"1. Banora Beach
2. Miss Righteous
3. Smoky Chipotle"
Federal Master,8/8,2025-06-19,Q1 Lakeside,18,352,12,M,7,"3,7",$7.50,20.1,"1. Advika
2. Princess Darcy
3. Goldstar Hector"
Federal Master,6/8,2025-06-01,Capalaba,3,366,5.25,M,4,"3,4",$10.00,20.3,"1. Rose Of Alabama
2. Bentley Moana
3. Cliff Clavin"
Federal Master,2/8,2025-05-29,Albion Park,11,331,0.75,M,6,1,$4.20,19.9,"1. Boonie's Mate
3. Tahitian Star"
Federal Master,7/8,2025-05-18,Albion Park,7,331,5.5,M,7,N/A,$3.50,19.7,"1. Goldstar Foster
2. Quarter Share
3. Stay Warm David"
Federal Master,6/8,2025-05-11,Capalaba,7,366,7.25,MF,2,"2,2",$7.50,20.1,"1. Sarah's Price
2. Mally's Boy
3. Sassy Vixen"
Federal Master,3/8,2025-05-04,Capalaba,7,366,2,M,7,"1,1",$4.20,20.3,"1. Sarah's Price
2. Almighty Leo"
Federal Master,7/8,2025-04-27,Capalaba,7,366,6,MF,1,"1,3",$20.00,20.6,"1. Racing Queen
2. Bentley Moana
3. Bentley Harris"
Federal Master,4/8,2025-04-20,Capalaba,11,366,7.75,M,2,N/A,$17.00,20.2,"1. Bentley Harris
2. Conduction
3. Big Operator"
Federal Master,8/8,2025-04-09,Albion Park,61,395,33.25,M,5,6,$51.00,22.6,"1. Marg
2. Breakout Lad
3. Ellie's Lad"
Federal Master,7/8,2025-02-07,Ipswich,N/A,431,28.25,M,8,3,$9.00,25,"1. Juniper Rose
2. Almighty Leo
3. Blazing Vision"
Polly's Vibe,7/8,2025-07-06,Albion Park,7,331,10,M,1,7,$2.70,19.4,"1. Currency Convert
2. Mary Poppins
3. We Different"
Polly's Vibe,2/8,2025-06-29,Albion Park,7,331,0.5,M,6,2,$12.00,19.6,"1. Infrared Power
3. Shine On Annie"
Polly's Vibe,3/8,2025-06-22,Albion Park,7,331,8.25,M,3,4,$16.00,19.1,"1. Made You Look
2. Turuva"
Polly's Vibe,3/8,2025-06-15,Albion Park,7,331,4.25,M,4,3,$8.00,19.3,"1. Turuva
2. Do The Maths"
Polly's Vibe,6/8,2025-06-08,Capalaba,7,366,6.75,M,3,"1,2",$51.00,20.6,"1. Untrained Eye
2. Tahitian Star
3. Specifically"
Polly's Vibe,6/8,2025-06-01,Q1 Lakeside,4,352,8,M,3,"8,7,6",$8.00,20.2,"1. Bee's The Word
2. Sassy Snow
3. Stay Tipsy"
Polly's Vibe,5/8,2025-05-28,Albion Park,24,395,6,PM,5,6,$3.80,23.5,"1. Danni And You
2. Remember Pal
3. Strong Boy"
Polly's Vibe,5/7,2025-05-04,Albion Park,11,331,11,M,3,6,$11.00,19.2,"1. Silva Hayze
2. We Different
3. Maggie Loye"
Polly's Vibe,5/6,2025-04-23,Albion Park,14,395,2.25,M,4,5,$10.00,23.4,"1. Huckleberry Hugo
2. No Junk
3. Non Stop Wizard"
Polly's Vibe,5/8,2025-04-09,Albion Park,19,395,7.75,PM,7,7,$4.80,23.5,"1. Kevie's Chosen
2. Forever Smiling
3. Remember Pal"
Polly's Vibe,4/8,2025-03-21,Ipswich,35,431,9.25,M,5,4,$11.00,25.5,"1. Veracious Val
2. Missy Moo Moo
3. Spring Selena"
Polly's Vibe,7/7,2025-02-14,Ipswich,5,431,20.75,O,7,7,$91.00,25,"1. Savanna Beach
2. Hold The Gavel
3. Oscar Bravo"
Polly's Vibe,7/8,2025-02-09,Capalaba,39,366,27,M,3,"7,7",$81.00,20.1,"1. Brindle Fugitive
2. Ice Rider
3. Bogie Pride"
Polly's Vibe,4/8,2025-01-01,Ipswich,13,288,4.25,M,6,6,$3.40,18,"1. Where's My Star
2. Yogi Unleashed
3. Holly Be Merry"
Polly's Vibe,2/8,2024-12-19,Ipswich,N/A,288,3.25,M,7,3,$15.00,17.4,"1. Ace Diva
3. Optimise"
Bundy Black,5/8,2025-08-06,Q1 Lakeside,3,352,3.5,PM,2,"4,4",$29.00,20.5,"1. Hard Style Tiger
2. Hara's Hudson
3. Brodie And Me"
Bundy Black,6/6,2025-08-03,Capalaba,10,366,11.75,M,5,"3,3",$101.00,20.7,"1. Zipping Snead
2. Big Eddie
3. Flying Argos"
Bundy Black,7/8,2025-07-24,Q Straight,7,300,13.25,M,7,3,$61.00,16.8,"1. Red Hot Penny
2. Typhoon Tahlia
3. Zabdon Blondie"
Bundy Black,5/8,2025-07-17,Q Straight,7,300,7.5,PM,8,4,$14.00,16.8,"1. He's On Show
2. Zabdon No Doubt
3. King Moses"
Bundy Black,8/8,2025-07-10,Q Straight,50,350,14.5,M,8,"4,7",$67.00,20.1,"1. Undeniable Grit
2. Not The Deputy
3. Chasing Cheques"
Bundy Black,4/8,2025-05-21,Capalaba,7,366,10,M,6,"5,4",$101.00,20.2,"1. Millie Beach
2. So Simple
3. Ice Rider"
Bundy Black,7/8,2025-05-14,Capalaba,3,366,13.25,M,4,"8,8",$51.00,20.6,"1. Sassy Vixen
2. Heading North
3. Ice Rider"
Bundy Black,4/8,2025-05-11,Albion Park,7,331,2.5,PM,4,6,$23.00,19.9,"1. Non Stop Wizard
2. Goldstar Foster
3. Wife's Furious"
Bundy Black,6/8,2025-05-04,Capalaba,4,366,8.25,M,6,"2,3",$101.00,20.3,"1. Sarah's Price
2. Almighty Leo
3. Federal Master"
Bundy Black,8/8,2025-04-30,Capalaba,3,366,11.5,PM,4,"4,5",$41.00,20.5,"1. My Man Jackson
2. Almighty Leo
3. So Simple"
Bundy Black,6/8,2025-04-27,Capalaba,7,366,12.25,M,4,"2,4",$91.00,20.5,"1. Turbo Tully
2. Ice Rider
3. Mally's Boy"
Bundy Black,8/8,2025-04-20,Capalaba,77,366,16.75,M,3,N/A,$101.00,20.2,"1. Bentley Harris
2. Conduction
3. Big Operator"
